Date, Time, Open, High, Low, Last, Volume, OpenInterest
2019/9/30, 00:00:00, 1.1054, 1.1109, 1.0992, 1.1091, 42471, 8802
2019/10/7, 00:00:00, 1.1088, 1.1170, 1.1046, 1.1144, 44573, 9198
2019/10/14, 00:00:00, 1.1139, 1.1269, 1.1090, 1.1258, 45440, 9917
2019/10/21, 00:00:00, 1.1253, 1.1275, 1.1164, 1.1172, 34077, 10863
2019/10/28, 00:00:00, 1.1170, 1.1261, 1.1163, 1.1249, 36754, 11894
2019/11/4, 00:00:00, 1.1252, 1.1260, 1.1096, 1.1103, 35442, 12337
2019/11/11, 00:00:00, 1.1104, 1.1131, 1.1064, 1.1127, 30600, 13063
2019/11/18, 00:00:00, 1.1125, 1.1168, 1.1083, 1.1090, 34106, 12675
2019/11/25, 00:00:00, 1.1088, 1.1100, 1.1045, 1.1081, 28528, 13293
2019/12/2, 00:00:00, 1.1086, 1.1179, 1.1066, 1.1115, 39284, 12722
2019/12/9, 00:00:00, 1.1117, 1.1263, 1.1112, 1.1191, 38376, 5975
2019/12/16, 00:00:00, 1.1198, 1.1244, 1.1131, 1.1140, 31993, 7364
2019/12/23, 00:00:00, 1.1144, 1.1246, 1.1130, 1.1245, 17272, 6845
2019/12/30, 00:00:00, 1.1235, 1.1293, 1.1173, 1.1217, 28821, 7573
2020/1/6, 00:00:00, 1.1209, 1.1255, 1.1129, 1.1166, 39228, 8362
2020/1/13, 00:00:00, 1.1161, 1.1212, 1.1125, 1.1133, 33453, 9669
2020/1/21, 00:00:00, 1.1128, 1.1156, 1.1052, 1.1064, 38125, 10810
2020/1/27, 00:00:00, 1.1061, 1.1125, 1.1024, 1.1124, 34751, 0
